timestamp,x_mean,x_std,y_mean,y_std,x_mean,z_std,dT_mean,dT_std
23-03-17_11-30-40,0.96,0.682,0.629,0.551,1.096,0.165,2000.0,110.051
23-03-17_11-30-45,0.296,0.164,0.336,0.19,1.141,0.085,1999.999,89.852
23-03-17_11-30-50,0.408,0.313,0.393,0.212,1.153,0.063,2000.001,110.081
23-03-17_11-30-55,0.202,0.135,0.492,0.232,1.148,0.045,2000.0,89.839
23-03-17_11-31-00,0.767,0.261,0.358,0.343,1.124,0.085,2000.0,110.009
23-03-17_11-31-05,0.343,0.189,0.481,0.301,1.098,0.127,2000.0,89.911
23-03-17_11-31-10,0.283,0.139,0.539,0.334,1.13,0.088,1999.999,109.984
23-03-17_11-31-15,0.568,0.286,0.63,0.365,1.056,0.159,2000.001,89.854
23-03-17_11-31-20,0.333,0.138,0.251,0.195,1.121,0.063,2000.0,110.056
23-03-17_11-31-25,0.203,0.069,0.411,0.208,1.124,0.035,2000.0,89.843
23-03-17_11-31-30,0.017,0.007,0.015,0.005,1.054,0.008,2000.0,110.092
23-03-17_11-31-35,nan,nan,1.431,0.992,1.026,0.21,2000.0,89.839
23-03-17_11-31-40,0.981,0.773,nan,nan,0.895,0.154,2000.0,110.098
23-03-17_11-31-45,1.096,0.653,0.765,0.398,0.962,0.13,2000.0,89.861
23-03-17_11-31-50,0.011,0.009,0.012,0.004,1.025,0.009,2000.0,110.073
23-03-17_11-31-55,0.014,0.005,0.017,0.002,1.025,0.009,2000.0,89.88
23-03-17_11-32-00,0.012,0.009,0.008,0.004,1.026,0.009,2000.0,110.077
23-03-17_11-32-05,0.016,0.007,0.008,0.003,1.025,0.009,2000.0,89.887
23-03-17_11-32-10,0.591,0.396,0.422,0.267,1.06,0.087,2000.0,110.079
23-03-17_11-32-15,0.644,0.0,0.097,0.08,1.137,0.023,2000.0,89.84
23-03-17_11-32-20,0.139,0.109,0.116,0.074,1.142,0.015,2000.0,110.114
23-03-17_11-32-25,0.164,0.165,0.802,0.238,1.147,0.013,2000.0,89.874
23-03-17_11-32-30,0.247,0.189,0.457,0.192,1.144,0.018,2000.0,110.078
23-03-17_11-32-35,0.239,0.154,0.083,0.047,1.143,0.012,2000.0,89.836
23-03-17_11-32-40,0.286,0.217,0.132,0.049,1.143,0.023,2000.0,110.085
23-03-17_11-32-45,0.467,0.174,0.151,0.114,1.143,0.017,2000.0,89.864
23-03-17_11-32-50,4.755,1.056,2.546,0.813,1.056,0.294,2000.0,110.003
23-03-17_11-32-55,nan,nan,nan,nan,0.691,0.118,2000.0,89.844
23-03-17_11-33-00,0.013,0.005,0.015,0.006,0.634,0.013,2000.0,110.071
23-03-17_11-33-05,0.012,0.01,0.015,0.008,0.602,0.014,2000.0,89.831
23-03-17_11-33-10,0.114,0.042,0.091,0.039,0.552,0.052,2000.0,110.04
23-03-17_11-33-15,0.044,0.03,0.022,0.016,0.362,0.024,2000.0,89.871
23-03-17_11-33-20,0.014,0.005,0.013,0.006,0.315,0.011,2000.0,110.089
23-03-17_11-33-25,0.008,0.007,0.012,0.006,0.29,0.008,2000.0,89.894
23-03-17_11-33-30,0.015,0.029,nan,nan,0.273,0.018,2000.0,110.08
23-03-17_11-33-35,0.016,0.006,nan,nan,0.184,0.011,2000.0,89.822
23-03-17_11-33-40,0.006,0.003,0.013,0.005,0.163,0.009,2000.0,110.044
23-03-17_11-33-45,0.009,0.005,0.007,0.003,0.141,0.008,2000.0,89.793
23-03-17_11-33-50,nan,nan,nan,nan,0.125,0.008,2000.0,110.065
23-03-17_11-33-55,0.041,0.041,0.027,0.024,0.044,0.014,2000.0,89.85
23-03-17_11-34-00,0.275,0.124,0.19,0.179,0.023,0.034,2000.0,110.105
23-03-17_11-34-05,0.005,0.003,0.007,0.002,0.013,0.007,2000.0,89.899
23-03-17_11-34-10,0.004,0.002,0.014,0.006,0.008,0.006,2000.0,110.04
23-03-17_11-34-15,0.01,0.004,0.006,0.002,0.004,0.006,2000.0,89.887
23-03-17_11-34-20,0.042,0.03,0.052,0.046,-0.001,0.016,2000.0,110.064
23-03-17_11-34-25,0.045,0.021,0.042,0.023,-0.006,0.012,2000.0,89.89
23-03-17_11-34-30,0.019,0.009,0.016,0.008,-0.01,0.005,2000.0,110.088
23-03-17_11-34-35,0.015,0.003,0.004,0.002,-0.011,0.005,2000.0,89.844
23-03-17_11-34-40,0.014,0.008,0.008,0.005,-0.013,0.005,2000.0,89.867
23-03-17_11-34-45,0.006,0.004,0.012,0.002,-0.015,0.006,2000.0,110.038
23-03-17_11-34-50,0.203,0.011,0.155,0.014,-0.049,0.017,2000.0,89.868
23-03-17_11-34-55,0.101,0.061,0.156,0.101,-0.06,0.034,2000.0,110.034
23-03-17_11-35-00,0.048,0.008,0.019,0.007,-0.036,0.006,2000.0,89.908
23-03-17_11-35-05,0.021,0.015,0.012,0.009,-0.036,0.005,2000.0,109.916
23-03-17_11-35-10,0.012,0.003,0.013,0.005,-0.034,0.006,2000.0,89.876
23-03-17_11-35-15,0.01,0.004,0.009,0.003,-0.035,0.005,2000.0,110.042
23-03-17_11-35-20,0.013,0.01,0.008,0.009,-0.035,0.006,2000.0,89.911
23-03-17_11-35-25,0.285,0.027,0.354,0.026,-0.04,0.025,2000.0,110.017
23-03-17_11-35-30,0.012,0.005,0.007,0.003,-0.041,0.004,2000.0,89.854
23-03-17_11-35-35,0.015,0.006,0.01,0.004,-0.041,0.004,2000.0,110.055
23-03-17_11-35-40,0.014,0.004,0.004,0.002,-0.041,0.004,2000.0,89.797
23-03-17_11-35-45,0.375,0.043,0.307,0.111,-0.003,0.083,2000.0,110.056
23-03-17_11-35-50,0.009,0.004,0.014,0.004,-0.005,0.005,2000.0,89.833
23-03-17_11-35-55,0.011,0.006,0.01,0.003,-0.004,0.005,2000.0,110.038
23-03-17_11-36-00,0.007,0.003,0.008,0.003,-0.005,0.005,2000.0,89.849
23-03-17_11-36-05,0.005,0.003,0.009,0.002,-0.004,0.005,2000.0,110.072
23-03-17_11-36-10,0.007,0.004,0.009,0.006,-0.004,0.005,2000.0,89.858
23-03-17_11-36-15,0.038,0.0,0.017,0.006,-0.004,0.006,2000.0,110.076
23-03-17_11-36-20,0.005,0.003,0.008,0.003,-0.003,0.005,2000.0,89.862
23-03-17_11-36-25,0.004,0.002,0.004,0.002,-0.003,0.006,2000.0,110.041
23-03-17_11-36-30,0.008,0.004,0.005,0.002,-0.003,0.005,2000.0,89.837
23-03-17_11-36-35,0.005,0.003,0.004,0.002,-0.003,0.005,2000.0,110.04
23-03-17_11-36-40,0.046,0.036,0.006,0.007,-0.002,0.006,2000.0,89.868
23-03-17_11-36-45,0.073,0.035,0.012,0.016,-0.002,0.007,2000.0,110.02
23-03-17_11-36-50,0.009,0.003,0.004,0.001,-0.003,0.005,2000.0,89.87
23-03-17_11-36-55,0.009,0.005,0.004,0.002,-0.002,0.005,2000.0,110.07
23-03-17_11-37-00,0.02,0.01,0.015,0.011,-0.003,0.007,2000.0,89.888
23-03-17_11-37-05,0.008,0.005,0.005,0.003,-0.002,0.006,2000.0,110.026
23-03-17_11-37-10,0.005,0.002,0.005,0.002,-0.002,0.005,2000.0,89.862
