timestamp,x_mean,x_std,y_mean,y_std,x_mean,z_std,dT_mean,dT_std
23-03-17_11-37-15,0.008,0.005,0.006,0.003,-0.003,0.006,2000.0,110.077
23-03-17_11-37-20,0.033,0.083,0.085,0.17,-0.032,0.051,2000.0,89.897
23-03-17_11-37-25,0.015,0.01,0.008,0.005,-0.079,0.005,2000.0,110.053
23-03-17_11-37-30,0.406,0.106,0.245,0.22,-0.226,0.142,2000.0,89.897
23-03-17_11-37-35,0.015,0.007,0.109,0.025,-0.292,0.04,2000.0,110.051
23-03-17_11-37-40,0.014,0.005,0.01,0.005,-0.229,0.006,2000.0,89.901
23-03-17_11-37-45,0.014,0.006,0.018,0.007,-0.228,0.006,2000.0,110.049
23-03-17_11-37-50,0.014,0.006,0.024,0.011,-0.225,0.007,2000.0,89.887
23-03-17_11-37-55,0.016,0.006,0.022,0.006,-0.223,0.006,2000.0,110.065
23-03-17_11-38-00,0.045,0.034,0.25,0.169,-0.232,0.035,2000.0,89.853
23-03-17_11-38-05,0.056,0.054,0.307,0.126,-0.25,0.041,2000.004,110.067
23-03-17_11-38-10,0.119,0.069,0.115,0.085,-0.221,0.028,1999.996,89.911
23-03-17_11-38-15,0.033,0.025,0.024,0.013,-0.264,0.007,2000.0,110.039
23-03-17_11-38-20,0.018,0.007,0.021,0.01,-0.266,0.005,1999.999,89.887
23-03-17_11-38-25,0.012,0.006,0.014,0.006,-0.268,0.005,2000.0,110.036
23-03-17_11-38-30,0.012,0.005,0.015,0.006,-0.269,0.005,2000.0,89.837
23-03-17_11-38-35,0.014,0.006,0.017,0.009,-0.27,0.007,2000.0,110.047
23-03-17_11-38-40,nan,nan,0.03,0.0,-0.27,0.006,2000.0,89.839
23-03-17_11-38-45,0.081,0.051,0.02,0.023,-0.274,0.007,2000.0,110.018
23-03-17_11-38-50,nan,nan,0.019,0.018,-0.276,0.008,2000.0,89.91
23-03-17_11-38-55,0.015,0.005,0.014,0.006,-0.278,0.007,2000.0,110.025
23-03-17_11-39-00,0.013,0.006,0.015,0.007,-0.279,0.007,2000.0,89.894
23-03-17_11-39-05,0.011,0.004,0.014,0.006,-0.28,0.007,2000.0,110.014
23-03-17_11-39-10,0.015,0.004,0.016,0.007,-0.281,0.007,2000.0,89.73
23-03-17_11-39-15,0.012,0.005,0.016,0.007,-0.283,0.007,2000.0,110.093
23-03-17_11-39-20,0.015,0.006,0.018,0.009,-0.282,0.007,2000.0,89.862
23-03-17_11-39-25,0.013,0.004,0.014,0.006,-0.283,0.006,2000.0,110.073
23-03-17_11-39-30,0.01,0.006,0.017,0.008,-0.284,0.006,2000.0,89.874
23-03-17_11-39-35,0.011,0.004,0.012,0.005,-0.285,0.006,2000.0,110.032
23-03-17_11-39-40,0.01,0.005,0.015,0.007,-0.287,0.006,2000.0,89.89
23-03-17_11-39-45,0.009,0.004,0.013,0.005,-0.285,0.007,2000.0,110.077
23-03-17_11-39-50,0.015,0.018,0.015,0.011,-0.287,0.007,2000.0,89.875
23-03-17_11-39-55,0.012,0.005,0.016,0.005,-0.286,0.007,2000.0,110.083
23-03-17_11-40-00,0.013,0.009,0.022,0.009,-0.288,0.007,2000.0,89.897
23-03-17_11-40-05,0.014,0.005,0.019,0.007,-0.287,0.007,2000.0,110.069
23-03-17_11-40-10,0.012,0.005,0.015,0.005,-0.287,0.006,2000.0,89.888
23-03-17_11-40-15,0.013,0.005,0.015,0.006,-0.289,0.006,2000.0,109.983
23-03-17_11-40-20,0.011,0.004,0.015,0.006,-0.29,0.005,2000.0,89.881
23-03-17_11-40-25,0.014,0.005,0.015,0.006,-0.291,0.005,2000.0,110.07
23-03-17_11-40-30,0.012,0.008,0.021,0.008,-0.291,0.006,2000.0,89.864
23-03-17_11-40-35,0.013,0.005,0.017,0.007,-0.292,0.005,2000.0,110.051
23-03-17_11-40-40,0.012,0.006,0.016,0.006,-0.292,0.006,2000.0,89.891
23-03-17_11-40-45,0.012,0.005,0.016,0.005,-0.292,0.005,1999.999,110.04
23-03-17_11-40-50,0.013,0.006,0.018,0.006,-0.294,0.005,2000.0,89.855
23-03-17_11-40-55,0.112,0.006,0.222,0.124,-0.315,0.056,2000.0,110.101
23-03-17_11-41-00,0.015,0.008,0.021,0.009,-0.339,0.017,2000.0,89.899
23-03-17_11-41-05,0.043,0.039,0.035,0.019,-0.344,0.011,2000.0,110.037
23-03-17_11-41-10,0.008,0.005,0.019,0.007,-0.344,0.007,2000.0,89.897
23-03-17_11-41-15,0.014,0.004,0.013,0.005,-0.345,0.007,2000.0,110.109
23-03-17_11-41-20,0.01,0.004,0.018,0.005,-0.345,0.007,2000.0,89.895
23-03-17_11-41-25,0.012,0.004,0.015,0.004,-0.346,0.007,2000.0,110.068
23-03-17_11-41-30,0.013,0.006,0.013,0.006,-0.348,0.007,2000.0,89.895
23-03-17_11-41-35,0.013,0.004,0.015,0.005,-0.349,0.007,2000.0,110.024
23-03-17_11-41-40,0.016,0.005,0.013,0.005,-0.349,0.007,2000.0,89.89
23-03-17_11-41-45,0.013,0.005,0.016,0.008,-0.35,0.008,2000.0,110.09
23-03-17_11-41-50,0.011,0.006,0.017,0.01,-0.351,0.008,2000.0,89.855
23-03-17_11-41-55,0.02,0.004,0.015,0.006,-0.352,0.007,2000.0,110.052
23-03-17_11-42-00,0.017,0.006,0.017,0.007,-0.352,0.008,2000.0,89.804
23-03-17_11-42-05,0.013,0.011,0.016,0.008,-0.355,0.007,2000.0,110.048
23-03-17_11-42-10,0.014,0.006,0.018,0.008,-0.356,0.007,2000.0,89.821
23-03-17_11-42-15,0.065,0.054,0.038,0.017,-0.355,0.009,2000.0,110.103
23-03-17_11-42-20,0.024,0.011,0.02,0.009,-0.357,0.007,2000.0,89.828
23-03-17_11-42-25,0.014,0.007,0.025,0.012,-0.356,0.008,2000.0,110.069
23-03-17_11-42-30,0.014,0.005,0.015,0.009,-0.355,0.007,2000.001,89.851
23-03-17_11-42-35,0.015,0.008,0.018,0.011,-0.357,0.008,2000.0,110.017
23-03-17_11-42-40,0.016,0.009,0.032,0.017,-0.357,0.009,2000.0,89.862
23-03-17_11-42-45,0.018,0.011,0.038,0.021,-0.358,0.008,2000.0,110.029
23-03-17_11-42-50,0.013,0.005,0.018,0.006,-0.358,0.006,2000.0,89.863
23-03-17_11-42-55,0.014,0.004,0.016,0.007,-0.359,0.006,2000.0,110.09
23-03-17_11-43-00,0.014,0.004,0.012,0.003,-0.36,0.006,2000.0,89.895
23-03-17_11-43-05,0.015,0.006,0.015,0.006,-0.361,0.006,2000.0,110.071
23-03-17_11-43-10,0.014,0.006,0.023,0.007,-0.361,0.006,2000.0,89.875
23-03-17_11-43-15,0.016,0.008,0.024,0.012,-0.362,0.006,2000.0,110.081
23-03-17_11-43-20,0.016,0.007,0.023,0.009,-0.362,0.006,2000.0,89.894
23-03-17_11-43-25,0.016,0.006,0.018,0.007,-0.362,0.005,2000.0,110.043
23-03-17_11-43-30,0.022,0.008,0.016,0.006,-0.362,0.006,2000.0,89.915
23-03-17_11-43-35,0.388,0.131,0.19,0.336,-0.4,0.073,2000.0,110.044
23-03-17_11-43-40,0.018,0.012,0.038,0.019,-0.415,0.01,2000.0,89.863
23-03-17_11-43-45,0.012,0.006,0.026,0.01,-0.416,0.008,2000.0,110.054
23-03-17_11-43-50,0.01,0.004,0.023,0.011,-0.417,0.008,2000.0,89.846
23-03-17_11-43-55,0.025,0.031,0.419,0.0,-0.429,0.025,2000.0,110.093
23-03-17_11-44-00,0.01,0.011,0.028,0.01,-0.445,0.007,2000.0,89.877
23-03-17_11-44-05,0.136,0.111,0.038,0.026,-0.445,0.01,2000.0,110.023
23-03-17_11-44-10,0.006,0.003,0.021,0.01,-0.446,0.006,2000.004,89.78
23-03-17_11-44-15,0.01,0.003,0.022,0.01,-0.447,0.007,1999.996,110.085
23-03-17_11-44-20,0.012,0.004,0.022,0.016,-0.447,0.009,2000.0,89.901
23-03-17_11-44-25,0.005,0.003,0.015,0.006,-0.448,0.007,2000.0,110.07
23-03-17_11-44-30,0.007,0.003,0.013,0.004,-0.447,0.006,2000.0,89.894
23-03-17_11-44-35,0.011,0.003,0.013,0.006,-0.448,0.006,2000.0,110.092
23-03-17_11-44-40,0.01,0.005,0.015,0.007,-0.447,0.006,2000.0,89.858
23-03-17_11-44-45,0.009,0.007,0.021,0.01,-0.448,0.007,2000.0,110.093
23-03-17_11-44-50,0.112,0.164,0.041,0.054,-0.451,0.016,2000.0,89.883
23-03-17_11-44-55,0.017,0.006,0.028,0.009,-0.452,0.008,2000.0,110.07
23-03-17_11-45-00,0.016,0.005,0.022,0.007,-0.451,0.007,2000.0,89.841
23-03-17_11-45-05,0.01,0.005,0.024,0.014,-0.452,0.008,2000.0,110.079
23-03-17_11-45-10,0.008,0.004,0.017,0.005,-0.451,0.006,2000.0,89.872
23-03-17_11-45-15,0.018,0.004,0.018,0.006,-0.452,0.006,2000.0,110.104
23-03-17_11-45-20,0.012,0.004,0.014,0.005,-0.454,0.006,2000.0,89.867
23-03-17_11-45-25,0.014,0.004,0.019,0.008,-0.454,0.007,2000.0,110.089
23-03-17_11-45-30,0.02,0.045,0.036,0.045,-0.459,0.016,2000.0,89.854
23-03-17_11-45-35,0.022,0.015,0.02,0.009,-0.459,0.008,2000.0,110.072
23-03-17_11-45-40,0.015,0.016,0.223,0.139,-0.456,0.024,2000.0,89.856
23-03-17_11-45-45,0.016,0.013,0.08,0.036,-0.477,0.015,2000.0,110.0
23-03-17_11-45-50,0.012,0.006,0.033,0.016,-0.483,0.009,2000.0,89.82
23-03-17_11-45-55,0.025,0.017,0.21,0.0,-0.502,0.016,2000.0,110.102
23-03-17_11-46-00,0.098,0.125,0.071,0.085,-0.5,0.024,2000.0,89.907
23-03-17_11-46-05,0.01,0.007,0.022,0.009,-0.501,0.007,2000.0,110.099
23-03-17_11-46-10,0.019,0.009,0.018,0.008,-0.501,0.007,2000.0,89.851
