timestamp,x_mean,x_std,y_mean,y_std,x_mean,z_std,dT_mean,dT_std
23-03-17_11-20-27,2.248,1.38,nan,nan,0.985,0.312,2778.379,37227.683
23-03-17_11-20-32,1.516,0.559,1.497,0.442,1.232,0.19,2000.0,89.855
23-03-17_11-20-37,0.793,0.324,0.788,0.214,1.147,0.103,2000.0,110.117
23-03-17_11-20-42,0.617,0.275,0.471,0.212,1.138,0.087,1999.999,89.902
23-03-17_11-20-47,1.044,0.208,0.909,0.203,1.153,0.122,2000.001,110.088
23-03-17_11-20-52,1.098,0.122,0.564,0.391,1.11,0.117,2000.0,89.89
23-03-17_11-20-57,0.198,0.129,0.109,0.115,1.103,0.033,2000.0,110.083
23-03-17_11-21-02,0.728,0.373,0.67,0.259,1.134,0.119,2000.0,89.826
23-03-17_11-21-07,0.641,0.078,0.611,0.065,1.143,0.067,2000.0,110.073
23-03-17_11-21-12,0.429,0.161,0.519,0.152,1.111,0.061,2000.0,89.848
23-03-17_11-21-17,0.084,0.048,0.192,0.038,1.137,0.038,2000.0,89.838
23-03-17_11-21-22,0.232,0.266,nan,nan,1.022,0.184,2000.0,110.049
23-03-17_11-21-27,0.034,0.02,0.034,0.021,0.809,0.015,2000.0,89.886
23-03-17_11-21-32,nan,nan,0.415,0.0,0.793,0.046,2000.0,110.101
23-03-17_11-21-37,0.022,0.011,0.015,0.01,0.812,0.014,2000.0,89.867
23-03-17_11-21-42,0.026,0.014,0.02,0.014,0.812,0.015,2000.0,110.078
23-03-17_11-21-47,0.026,0.01,0.02,0.01,0.808,0.015,2000.0,89.845
23-03-17_11-21-52,0.026,0.012,0.022,0.011,0.807,0.016,2000.0,110.02
23-03-17_11-21-57,0.043,0.021,0.062,0.037,0.808,0.017,2000.0,89.871
23-03-17_11-22-02,0.028,0.012,0.021,0.013,0.809,0.017,2000.0,110.082
23-03-17_11-22-07,0.026,0.013,0.023,0.014,0.808,0.016,1999.999,89.788
23-03-17_11-22-12,nan,nan,nan,nan,0.788,0.034,2000.0,110.06
23-03-17_11-22-17,0.082,0.064,0.047,0.038,0.643,0.061,2000.0,89.89
23-03-17_11-22-22,0.126,0.031,0.026,0.017,0.784,0.04,2000.0,109.969
23-03-17_11-22-27,0.037,0.027,0.036,0.024,0.809,0.02,2000.0,89.919
23-03-17_11-22-32,0.019,0.013,0.016,0.011,0.803,0.015,2000.0,109.995
23-03-17_11-22-37,nan,nan,0.033,0.034,0.59,0.08,2000.0,89.897
23-03-17_11-22-42,0.07,0.058,nan,nan,0.633,0.047,2000.0,110.091
23-03-17_11-22-47,nan,nan,0.024,0.021,0.702,0.039,2000.0,89.873
23-03-17_11-22-52,nan,nan,1.904,0.492,0.827,0.108,2000.0,110.03
23-03-17_11-22-57,nan,nan,nan,nan,0.826,0.019,2000.0,89.915
23-03-17_11-23-02,0.026,0.016,0.024,0.019,0.82,0.014,2000.0,110.124
23-03-17_11-23-07,0.705,0.0,0.889,0.544,0.825,0.145,2000.0,89.818
23-03-17_11-23-12,1.848,0.987,2.107,1.885,1.07,0.463,2000.0,110.084
23-03-17_11-23-17,1.616,0.641,2.728,1.813,1.122,0.396,2000.0,89.84
23-03-17_11-23-22,1.902,0.35,1.54,0.458,1.136,0.178,2000.0,109.906
23-03-17_11-23-27,1.356,0.486,1.051,0.435,1.063,0.151,2000.0,89.882
23-03-17_11-23-32,1.355,0.449,0.971,0.205,0.966,0.072,2000.0,110.058
23-03-17_11-23-37,0.012,0.005,0.018,0.007,0.934,0.008,2000.0,89.909
23-03-17_11-23-42,0.015,0.01,0.032,0.012,0.934,0.009,2000.0,110.097
23-03-17_11-23-47,0.015,0.008,0.024,0.011,0.934,0.008,2000.0,89.88
23-03-17_11-23-52,0.025,0.033,0.038,0.052,0.935,0.012,2000.0,110.03
23-03-17_11-23-57,1.446,0.682,1.85,0.968,0.247,0.663,2000.0,89.912
