timestamp,x_mean,x_std,y_mean,y_std,x_mean,z_std,dT_mean,dT_std
23-03-17_11-24-02,nan,nan,0.015,0.007,-0.395,0.006,2000.0,110.079
23-03-17_11-24-07,0.017,0.01,0.015,0.006,-0.396,0.006,2000.0,89.837
23-03-17_11-24-12,0.007,0.009,0.014,0.007,-0.395,0.006,2000.0,110.097
23-03-17_11-24-17,0.057,0.019,0.017,0.012,-0.395,0.007,2000.0,89.772
23-03-17_11-24-22,0.006,0.003,0.014,0.005,-0.396,0.006,2000.0,110.065
23-03-17_11-24-27,0.015,0.003,0.013,0.005,-0.396,0.006,2000.0,89.866
23-03-17_11-24-32,0.009,0.008,0.016,0.007,-0.395,0.006,2000.0,110.105
23-03-17_11-24-37,0.015,0.007,0.013,0.005,-0.395,0.006,2000.0,89.862
23-03-17_11-24-42,0.006,0.004,0.012,0.004,-0.396,0.006,2000.0,110.053
23-03-17_11-24-47,0.009,0.004,0.015,0.005,-0.395,0.006,2000.0,89.871
23-03-17_11-24-52,0.006,0.005,0.014,0.007,-0.395,0.006,2000.0,110.107
23-03-17_11-24-57,0.012,0.012,0.014,0.007,-0.396,0.007,2000.0,89.862
23-03-17_11-25-02,0.014,0.005,0.013,0.005,-0.395,0.006,2000.0,110.105
23-03-17_11-25-07,0.013,0.004,0.012,0.004,-0.395,0.006,2000.0,89.88
23-03-17_11-25-12,0.016,0.006,0.013,0.005,-0.396,0.006,2000.0,110.012
23-03-17_11-25-17,0.025,0.011,0.016,0.008,-0.396,0.006,2000.0,89.857
23-03-17_11-25-22,0.023,0.008,0.015,0.006,-0.396,0.006,2000.0,110.053
23-03-17_11-25-27,0.017,0.01,0.017,0.006,-0.396,0.006,2000.0,89.854
23-03-17_11-25-32,0.017,0.008,0.015,0.006,-0.395,0.006,2000.0,110.056
23-03-17_11-25-37,0.017,0.007,0.015,0.007,-0.395,0.006,2000.0,89.857
23-03-17_11-25-42,0.038,0.021,0.029,0.013,-0.396,0.007,2000.0,110.11
23-03-17_11-25-47,0.02,0.008,0.015,0.006,-0.396,0.006,2000.0,89.897
23-03-17_11-25-52,0.018,0.006,0.013,0.006,-0.395,0.006,2000.0,110.05
23-03-17_11-25-57,0.018,0.012,0.017,0.008,-0.396,0.006,2000.0,89.815
23-03-17_11-26-02,0.015,0.005,0.012,0.005,-0.396,0.006,2000.0,110.053
23-03-17_11-26-07,0.017,0.005,0.015,0.006,-0.395,0.006,2000.0,89.891
23-03-17_11-26-12,0.022,0.022,0.023,0.015,-0.396,0.006,2000.0,110.054
23-03-17_11-26-17,nan,nan,nan,nan,-0.379,0.093,2000.0,89.837
23-03-17_11-26-22,0.303,0.169,nan,nan,-0.343,0.08,2000.0,110.053
23-03-17_11-26-27,nan,nan,2.923,0.0,0.143,0.751,2000.0,89.882
23-03-17_11-26-32,0.019,0.007,0.02,0.013,0.839,0.016,2000.0,110.062
23-03-17_11-26-37,0.022,0.02,0.023,0.025,0.842,0.014,2000.0,89.861
23-03-17_11-26-42,0.47,0.251,nan,nan,0.836,0.037,2000.0,110.108
23-03-17_11-26-47,0.016,0.009,0.019,0.007,0.833,0.014,2000.0,89.861
23-03-17_11-26-52,0.082,0.045,0.039,0.037,0.832,0.019,2000.0,110.069
23-03-17_11-26-57,0.022,0.015,0.029,0.013,0.832,0.014,2000.0,89.862
23-03-17_11-27-02,0.016,0.007,0.018,0.008,0.832,0.014,2000.0,110.091
23-03-17_11-27-07,0.982,0.327,0.7,0.304,0.817,0.115,2000.003,89.906
23-03-17_11-27-12,0.014,0.008,0.017,0.011,0.828,0.013,1999.997,110.061
23-03-17_11-27-17,0.028,0.023,0.054,0.022,0.829,0.016,2000.0,89.899
23-03-17_11-27-22,nan,nan,0.298,0.197,0.829,0.022,2000.0,110.03
23-03-17_11-27-27,nan,nan,0.351,0.145,0.815,0.046,2000.0,89.833
23-03-17_11-27-32,0.087,0.075,0.085,0.064,0.819,0.021,2000.0,110.036
23-03-17_11-27-37,0.029,0.018,0.027,0.019,0.83,0.015,2000.0,89.89
23-03-17_11-27-42,0.031,0.032,0.113,0.044,0.834,0.017,2000.0,110.127
23-03-17_11-27-47,0.015,0.009,0.022,0.01,0.835,0.014,2000.0,89.876
23-03-17_11-27-52,0.014,0.006,0.016,0.006,0.836,0.013,2000.0,110.049
23-03-17_11-27-57,0.085,0.051,0.072,0.051,0.835,0.019,2000.003,89.859
23-03-17_11-28-02,0.014,0.006,0.016,0.006,0.834,0.014,1999.997,110.098
23-03-17_11-28-07,0.076,0.078,0.045,0.07,0.837,0.021,2000.0,89.864
23-03-17_11-28-12,0.014,0.008,0.017,0.006,0.838,0.014,2000.0,110.039
23-03-17_11-28-17,0.012,0.007,0.016,0.007,0.837,0.014,2000.0,89.867
23-03-17_11-28-22,0.012,0.007,0.017,0.007,0.839,0.013,2000.0,110.027
23-03-17_11-28-27,0.015,0.009,0.018,0.008,0.838,0.015,2000.0,89.892
23-03-17_11-28-32,0.013,0.008,0.017,0.006,0.839,0.014,2000.0,110.054
23-03-17_11-28-37,0.012,0.006,0.017,0.007,0.838,0.013,2000.0,89.875
23-03-17_11-28-42,0.014,0.006,0.017,0.006,0.838,0.013,2000.0,110.06
23-03-17_11-28-47,0.044,0.031,0.03,0.024,0.841,0.015,2000.0,89.9
23-03-17_11-28-52,0.064,0.032,0.086,0.029,0.84,0.016,2000.0,110.074
23-03-17_11-28-57,0.014,0.007,0.016,0.007,0.84,0.013,2000.0,89.897
23-03-17_11-29-02,0.011,0.006,0.015,0.006,0.842,0.013,2000.0,110.013
23-03-17_11-29-07,0.013,0.006,0.015,0.006,0.84,0.013,2000.0,89.929
23-03-17_11-29-12,0.013,0.005,0.015,0.006,0.843,0.013,2000.0,110.046
23-03-17_11-29-17,0.012,0.005,0.014,0.005,0.843,0.014,2000.0,89.869
23-03-17_11-29-22,0.178,0.102,0.23,0.107,0.82,0.049,2000.0,110.047
23-03-17_11-29-27,0.221,0.014,0.454,0.004,0.897,0.055,2000.0,89.811
23-03-17_11-29-32,0.074,0.032,0.061,0.046,0.906,0.013,2000.0,110.113
23-03-17_11-29-37,1.67,1.329,1.759,0.956,0.81,0.259,2000.0,89.903
23-03-17_11-29-42,1.052,0.524,0.385,0.223,1.096,0.172,2000.0,110.048
23-03-17_11-29-47,nan,nan,nan,nan,0.668,0.574,2000.0,89.893
23-03-17_11-29-52,0.182,0.116,0.162,0.089,1.097,0.018,2000.0,110.113
23-03-17_11-29-57,0.272,0.152,0.249,0.116,1.092,0.026,2000.0,89.855
23-03-17_11-30-02,0.477,0.353,4.751,0.0,0.967,0.278,2000.0,110.068
