timestamp,x_mean,x_std,y_mean,y_std,x_mean,z_std,dT_mean,dT_std
23-03-16_21-16-14,1.848,0.964,0.773,0.481,1.017,0.306,2000.0,89.764
23-03-16_21-16-19,2.728,0.335,0.585,0.501,1.007,0.222,2000.0,110.037
23-03-16_21-16-24,1.359,1.013,1.617,0.794,1.252,0.473,2000.0,89.812
23-03-16_21-16-29,2.57,1.582,1.925,0.687,1.33,0.493,2000.0,110.007
23-03-16_21-16-34,0.296,0.0,0.038,0.047,0.932,0.024,2000.0,89.781
23-03-16_21-16-39,0.013,0.005,0.006,0.003,0.929,0.006,2000.0,109.893
23-03-16_21-16-44,0.006,0.004,0.006,0.002,0.929,0.006,2000.0,89.774
