timestamp,x_mean,x_std,y_mean,y_std,x_mean,z_std,dT_mean,dT_std
23-03-17_11-05-34,0.015,0.012,nan,nan,0.96,0.011,510.349,10111.659
23-03-17_11-05-36,0.72,0.268,0.357,0.15,0.95,0.045,938.63,820.212
23-03-17_11-05-41,2.301,1.381,4.176,0.345,1.306,0.69,2000.0,110.055
23-03-17_11-05-46,2.522,0.518,3.216,0.525,1.363,0.661,2000.0,89.918
23-03-17_11-05-51,3.155,0.871,3.27,0.663,1.381,0.502,2000.0,110.072
23-03-17_11-06-00,3.759,0.283,3.458,0.206,1.182,0.266,2000.0,89.872
23-03-17_11-06-05,0.318,0.32,0.293,0.121,1.111,0.073,2000.0,110.032
23-03-17_11-06-10,3.086,1.116,5.641,1.136,1.615,0.865,2000.0,89.863
23-03-17_11-06-15,2.468,0.347,3.855,0.454,1.231,0.581,2000.0,109.991
23-03-17_11-06-20,1.76,0.336,3.538,0.47,1.125,0.558,2000.0,89.887
23-03-17_11-06-25,0.316,0.426,1.41,1.311,0.792,0.2,2000.0,110.035
23-03-17_11-06-30,1.901,0.731,6.086,0.529,1.179,0.494,2000.0,89.893
23-03-17_11-06-35,0.011,0.005,0.004,0.003,1.125,0.006,2000.0,110.015
23-03-17_11-06-40,0.085,0.062,0.051,0.046,1.125,0.016,2000.0,89.858
23-03-17_11-06-45,0.059,0.09,nan,nan,1.126,0.011,2000.0,109.969
23-03-17_11-06-50,1.402,0.483,1.964,0.824,1.218,0.486,2000.0,89.886
23-03-17_11-06-55,nan,nan,nan,nan,1.063,0.009,2000.0,110.088
23-03-17_11-07-00,0.007,0.007,0.007,0.007,1.065,0.007,2000.0,89.87
23-03-17_11-07-05,0.006,0.004,0.006,0.002,1.066,0.006,2000.0,110.066
23-03-17_11-07-10,0.005,0.003,0.004,0.002,1.067,0.006,2000.0,89.887
23-03-17_11-07-15,0.006,0.003,nan,nan,1.067,0.006,2000.0,110.05
23-03-17_11-07-20,0.006,0.005,0.004,0.002,1.066,0.007,2000.0,89.891
23-03-17_11-07-25,0.011,0.005,0.004,0.002,1.065,0.007,2000.0,110.122
23-03-17_11-07-30,0.015,0.006,0.004,0.002,1.065,0.007,2000.0,89.84
23-03-17_11-07-35,0.005,0.003,0.004,0.002,1.066,0.007,2000.334,108.793
23-03-17_11-07-40,0.005,0.002,0.004,0.002,1.067,0.007,1999.667,91.446
23-03-17_11-07-45,0.005,0.003,nan,nan,1.067,0.007,2000.0,89.887
23-03-17_11-07-50,0.012,0.005,0.007,0.003,1.067,0.006,2000.0,110.077
23-03-17_11-07-55,0.011,0.007,0.004,0.002,1.067,0.006,2000.0,89.862
23-03-17_11-08-00,0.01,0.004,0.004,0.002,1.066,0.007,2000.0,110.059
23-03-17_11-08-05,0.017,0.009,0.006,0.003,1.066,0.007,2000.0,89.886
23-03-17_11-08-10,0.008,0.008,0.014,0.008,1.067,0.007,2000.0,110.076
23-03-17_11-08-15,0.065,0.043,0.02,0.034,1.069,0.007,2000.0,89.902
23-03-17_11-08-20,0.881,0.235,0.294,0.184,1.064,0.051,2000.0,110.016
23-03-17_11-08-25,nan,nan,0.269,0.102,1.006,0.061,2000.0,89.913
23-03-17_11-08-30,0.014,0.006,0.014,0.006,1.005,0.006,2000.0,110.054
23-03-17_11-08-35,0.027,0.026,0.028,0.028,1.004,0.007,2000.0,89.894
23-03-17_11-08-40,0.639,0.474,0.531,0.455,0.88,0.185,2000.0,110.088
23-03-17_11-08-45,0.397,0.5,1.101,0.508,0.982,0.231,2000.0,89.91
23-03-17_11-08-50,2.401,0.233,0.574,0.155,1.133,0.253,2000.0,110.064
23-03-17_11-08-55,0.028,0.013,0.01,0.007,1.14,0.009,2000.0,89.87
23-03-17_11-09-00,0.49,0.345,0.293,0.432,1.122,0.081,2000.0,110.051
23-03-17_11-09-05,0.039,0.031,0.017,0.014,1.075,0.007,2000.0,89.846
23-03-17_11-09-10,0.008,0.009,0.013,0.007,1.074,0.006,2000.0,110.076
23-03-17_11-09-15,0.034,0.034,0.031,0.021,1.075,0.007,2000.0,89.894
23-03-17_11-09-20,0.027,0.021,0.021,0.01,1.075,0.007,2000.0,110.041
23-03-17_11-09-25,0.073,0.071,0.103,0.039,1.075,0.024,2000.0,89.878
23-03-17_11-09-30,0.251,0.198,0.367,0.189,1.051,0.087,2000.0,110.047
23-03-17_11-09-35,nan,nan,0.2,0.117,0.991,0.012,2000.0,89.899
23-03-17_11-09-40,0.008,0.007,0.009,0.006,0.989,0.009,2000.0,110.08
23-03-17_11-09-45,0.007,0.005,0.006,0.004,0.989,0.008,2000.0,89.829
23-03-17_11-09-50,0.006,0.003,0.005,0.002,0.99,0.008,2000.0,110.09
23-03-17_11-09-55,0.119,0.08,0.151,0.082,0.988,0.011,2000.0,89.866
23-03-17_11-10-00,0.041,0.052,0.025,0.041,0.988,0.014,2000.0,110.078
23-03-17_11-10-05,0.014,0.01,0.024,0.007,0.987,0.008,2000.0,89.826
23-03-17_11-10-10,0.009,0.005,0.007,0.003,0.988,0.008,1999.999,110.045
23-03-17_11-10-15,0.009,0.004,0.009,0.003,0.989,0.008,2000.0,89.87
23-03-17_11-10-20,0.04,0.067,0.022,0.036,0.99,0.014,2000.0,110.043
23-03-17_11-10-25,0.117,0.123,0.159,0.128,1.004,0.026,2000.0,89.864
23-03-17_11-10-30,0.013,0.006,0.013,0.004,1.005,0.006,2000.0,110.064
23-03-17_11-10-35,0.21,0.099,0.095,0.086,1.003,0.019,2000.0,89.827
23-03-17_11-10-40,0.283,0.109,0.421,0.187,1.005,0.026,2000.0,110.107
23-03-17_11-10-45,0.169,0.109,0.181,0.084,1.006,0.021,2000.0,89.868
23-03-17_11-10-50,0.02,0.008,0.013,0.004,1.006,0.007,2000.0,110.108
23-03-17_11-10-55,0.009,0.006,0.018,0.003,1.005,0.007,2000.0,89.861
23-03-17_11-11-00,0.01,0.005,0.012,0.004,1.005,0.007,2000.0,110.08
23-03-17_11-11-05,0.015,0.005,0.012,0.003,1.005,0.006,2000.0,89.858
23-03-17_11-11-10,0.011,0.005,0.013,0.004,1.006,0.007,2000.0,110.077
23-03-17_11-11-15,0.107,0.053,0.024,0.044,1.004,0.009,2000.0,89.894
23-03-17_11-11-20,0.084,0.049,0.091,0.066,1.002,0.015,2000.0,110.079
23-03-17_11-11-25,0.014,0.007,0.011,0.004,1.003,0.007,2000.0,89.9
