timestamp,x_mean,x_std,y_mean,y_std,x_mean,z_std,dT_mean,dT_std
23-03-17_11-11-30,0.127,0.049,0.054,0.054,1.002,0.009,2000.0,110.109
23-03-17_11-11-35,0.018,0.007,0.008,0.004,1.001,0.007,2000.0,89.854
23-03-17_11-11-40,0.013,0.005,0.021,0.0,1.001,0.007,2000.0,110.02
23-03-17_11-11-45,0.018,0.008,0.014,0.005,1.001,0.007,2000.0,89.897
23-03-17_11-11-50,0.015,0.007,0.012,0.004,1.002,0.007,2000.0,110.062
23-03-17_11-11-55,0.015,0.006,0.011,0.004,1.002,0.007,2000.0,89.828
23-03-17_11-12-00,0.015,0.006,0.013,0.003,1.002,0.007,2000.0,110.096
23-03-17_11-12-05,0.014,0.005,0.009,0.003,1.001,0.007,2000.0,89.875
23-03-17_11-12-10,0.015,0.007,0.011,0.004,1.003,0.007,2000.0,110.107
23-03-17_11-12-15,0.014,0.005,0.009,0.003,1.002,0.007,2000.0,89.909
23-03-17_11-12-20,0.015,0.007,0.012,0.004,1.003,0.007,2000.0,110.083
23-03-17_11-12-25,0.015,0.007,0.014,0.006,1.002,0.007,2000.0,89.902
23-03-17_11-12-30,0.013,0.006,0.01,0.004,1.002,0.007,2000.0,110.073
23-03-17_11-12-35,0.012,0.005,0.01,0.003,1.002,0.007,2000.0,89.865
23-03-17_11-12-40,0.014,0.006,0.009,0.004,1.003,0.007,2000.0,110.075
23-03-17_11-12-45,0.014,0.006,0.015,0.002,1.002,0.007,2000.0,89.815
23-03-17_11-12-50,0.014,0.006,0.01,0.004,1.003,0.007,2000.0,110.079
23-03-17_11-12-55,nan,nan,nan,nan,1.002,0.013,2000.0,89.87
23-03-17_11-13-00,0.406,0.0,nan,nan,0.997,0.019,2000.0,110.07
23-03-17_11-13-05,0.104,0.067,0.121,0.067,0.998,0.011,2000.0,89.898
23-03-17_11-13-10,0.011,0.008,0.011,0.005,0.997,0.008,2000.0,110.071
23-03-17_11-13-15,0.812,0.739,0.516,0.389,1.006,0.132,2000.0,89.898
23-03-17_11-13-20,0.723,0.467,0.845,0.267,0.992,0.127,2000.0,110.055
